region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,663462,0.2032,0.6263,0.1705,0.5025,0.4975,0.7532,0.2468,0.4239,0.4507,0.0454,0.0785,0.0001,0.0013,0.0002,0.5454,0.3056,0.149
AI,16003,0.2194,0.5953,0.1853,0.5147,0.4853,0.8892,0.1108,0.4569,0.4358,0.0532,0.0533,0.0001,0.0007,0.0001,0.0,0.0,1.0
AR,54954,0.2028,0.6084,0.1888,0.5055,0.4945,0.8379,0.1621,0.4233,0.4395,0.0519,0.0838,0.0,0.0015,0.0001,0.2862,0.4791,0.2347
BE,1026513,0.1907,0.6063,0.2031,0.4908,0.5092,0.8394,0.1606,0.4324,0.4272,0.0546,0.0839,0.0001,0.0016,0.0002,0.5234,0.2221,0.2545
BL,285624,0.1922,0.5937,0.2141,0.4907,0.5093,0.7772,0.2228,0.4011,0.4595,0.0548,0.0823,0.0,0.0021,0.0002,0.6806,0.295,0.0244
BS,193070,0.169,0.63,0.2009,0.4828,0.5172,0.6424,0.3576,0.4719,0.3707,0.0562,0.0972,0.0001,0.0034,0.0003,1.0,0.0,0.0
FR,311914,0.227,0.6207,0.1523,0.5012,0.4988,0.7761,0.2239,0.4547,0.423,0.0431,0.0777,0.0001,0.0012,0.0001,0.3309,0.4125,0.2566
GE,489524,0.2113,0.6238,0.1648,0.4844,0.5156,0.5978,0.4022,0.4674,0.3926,0.0417,0.0951,0.0001,0.0027,0.0003,0.9112,0.0888,0.0
GL,40147,0.1936,0.6123,0.194,0.5064,0.4936,0.7634,0.2366,0.4155,0.447,0.058,0.0784,0.0,0.0009,0.0001,0.7615,0.0,0.2385
GR,197550,0.1826,0.6125,0.2049,0.5004,0.4996,0.8146,0.1854,0.4234,0.4437,0.0542,0.0777,0.0001,0.0009,0.0001,0.3257,0.1221,0.5522
JU,73122,0.2146,0.5836,0.2017,0.4945,0.5055,0.8543,0.1457,0.4297,0.426,0.0621,0.0811,0.0001,0.0009,0.0001,0.3423,0.1894,0.4682
LU,403397,0.2051,0.6234,0.1715,0.498,0.502,0.8162,0.1838,0.4556,0.4296,0.0461,0.0671,0.0001,0.0013,0.0001,0.5259,0.1117,0.3624
NE,178567,0.2134,0.6002,0.1864,0.489,0.511,0.7441,0.2559,0.4391,0.4029,0.055,0.1017,0.0001,0.0011,0.0001,0.5861,0.3117,0.1022
NW,42556,0.1848,0.6208,0.1945,0.5121,0.4879,0.8582,0.1418,0.432,0.4445,0.0465,0.076,0.0001,0.0008,0.0001,0.3734,0.1335,0.4931
OW,37378,0.2044,0.616,0.1796,0.5074,0.4926,0.8532,0.1468,0.4433,0.4445,0.0471,0.0642,0.0,0.0007,0.0,0.2738,0.0,0.7262
SG,502552,0.2075,0.6156,0.1769,0.5005,0.4995,0.7618,0.2382,0.4323,0.4391,0.0484,0.079,0.0,0.001,0.0001,0.6941,0.1307,0.1752
SH,80769,0.1887,0.6044,0.2069,0.4955,0.5045,0.7415,0.2585,0.4084,0.4461,0.0572,0.0866,0.0,0.0015,0.0001,0.5764,0.3215,0.1021
SO,269441,0.1919,0.6168,0.1912,0.4984,0.5016,0.7803,0.2197,0.4171,0.4413,0.0534,0.0866,0.0001,0.0014,0.0001,0.6027,0.2587,0.1386
SZ,155863,0.1981,0.6309,0.171,0.5123,0.4877,0.793,0.207,0.4337,0.4436,0.0447,0.0767,0.0,0.0012,0.0001,0.6085,0.211,0.1805
TG,270709,0.2048,0.6257,0.1694,0.5031,0.4969,0.755,0.245,0.4238,0.4454,0.0458,0.0836,0.0,0.0012,0.0001,0.4635,0.2083,0.3282
TI,354375,0.1836,0.5962,0.2202,0.4878,0.5122,0.7191,0.2809,0.4168,0.4382,0.0605,0.0832,0.0001,0.0011,0.0001,0.6968,0.223,0.0802
UR,36145,0.2041,0.599,0.1969,0.5098,0.4902,0.8812,0.1188,0.4274,0.4657,0.0554,0.0503,0.0002,0.0009,0.0001,0.6123,0.2715,0.1161
VD,784822,0.22,0.6165,0.1635,0.4911,0.5089,0.6638,0.3362,0.4606,0.4072,0.044,0.0858,0.0001,0.0021,0.0002,0.6193,0.2764,0.1043
VS,339176,0.1997,0.61,0.1902,0.4955,0.5045,0.7679,0.2321,0.4249,0.44,0.0538,0.08,0.0001,0.001,0.0001,0.517,0.2378,0.2452
ZG,123948,0.2026,0.6323,0.1651,0.5057,0.4943,0.7246,0.2754,0.4373,0.4466,0.0387,0.0755,0.0001,0.0017,0.0001,0.9168,0.0832,0.0
ZH,1487969,0.1969,0.6341,0.169,0.4972,0.5028,0.7343,0.2657,0.458,0.4102,0.0425,0.0857,0.0001,0.0031,0.0004,0.7702,0.223,0.0068
CH,8419550,0.2009,0.6182,0.1809,0.4957,0.5043,0.7504,0.2496,0.4407,0.4258,0.0483,0.083,0.0001,0.0018,0.0002,0.6274,0.2182,0.1544
