region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,694072,0.2023,0.6159,0.1818,0.5026,0.4974,0.7449,0.2551,0.4294,0.442,0.0442,0.0825,0.0,0.0016,0.0002,0.5486,0.3019,0.1495
AI,16293,0.2095,0.5905,0.2,0.5132,0.4868,0.885,0.115,0.4539,0.432,0.0521,0.0614,0.0001,0.0003,0.0001,0.0,0.0,1.0
AR,55309,0.2018,0.5956,0.2026,0.5041,0.4959,0.8341,0.1659,0.426,0.434,0.05,0.0883,0.0,0.0016,0.0002,0.2829,0.4829,0.2341
BE,1043132,0.1899,0.5968,0.2132,0.4911,0.5089,0.8337,0.1663,0.4406,0.4162,0.0526,0.0883,0.0001,0.0018,0.0003,0.5255,0.2224,0.2521
BL,290969,0.1916,0.5846,0.2238,0.4907,0.5093,0.7644,0.2356,0.4075,0.4491,0.0543,0.0862,0.0,0.0025,0.0003,0.6795,0.2968,0.0237
BS,196735,0.1739,0.6292,0.1969,0.486,0.514,0.6311,0.3689,0.4884,0.3592,0.0507,0.0971,0.0001,0.004,0.0005,1.0,0.0,0.0
FR,325496,0.2199,0.6185,0.1616,0.5007,0.4993,0.7689,0.2311,0.4643,0.4086,0.0416,0.0836,0.0001,0.0016,0.0002,0.3251,0.4234,0.2515
GE,506343,0.2103,0.6259,0.1637,0.4845,0.5155,0.5979,0.4021,0.4852,0.3738,0.0398,0.0972,0.0002,0.0032,0.0006,0.9112,0.0888,0.0
GL,40851,0.1915,0.6024,0.2061,0.5049,0.4951,0.7528,0.2472,0.4206,0.4378,0.0559,0.0843,0.0,0.0012,0.0002,0.7679,0.0,0.2321
GR,200096,0.1757,0.6036,0.2206,0.5012,0.4988,0.8096,0.1904,0.4256,0.4356,0.0535,0.0839,0.0001,0.0012,0.0001,0.3277,0.1216,0.5507
JU,73709,0.2068,0.5788,0.2144,0.4948,0.5052,0.8512,0.1488,0.4397,0.4077,0.0604,0.0907,0.0001,0.0011,0.0002,0.3357,0.2007,0.4636
LU,416347,0.2024,0.6168,0.1808,0.4986,0.5014,0.8097,0.1903,0.459,0.4223,0.045,0.0717,0.0001,0.0017,0.0002,0.5254,0.1139,0.3608
NE,175894,0.2074,0.5986,0.194,0.49,0.51,0.7486,0.2514,0.4543,0.3833,0.0538,0.107,0.0001,0.0014,0.0002,0.5791,0.2991,0.1218
NW,43520,0.1807,0.6063,0.213,0.5124,0.4876,0.8501,0.1499,0.4307,0.4377,0.0471,0.0832,0.0,0.0011,0.0001,0.3671,0.1347,0.4981
OW,38108,0.1991,0.6044,0.1964,0.5056,0.4944,0.8522,0.1478,0.4384,0.4448,0.0474,0.068,0.0001,0.0012,0.0001,0.2759,0.0,0.7241
SG,514504,0.2044,0.609,0.1866,0.5017,0.4983,0.753,0.247,0.4363,0.4321,0.0471,0.083,0.0001,0.0013,0.0001,0.6928,0.1311,0.1761
SH,83107,0.1867,0.5972,0.2161,0.4953,0.5047,0.7372,0.2628,0.4117,0.4415,0.0546,0.0901,0.0,0.0018,0.0003,0.5706,0.3275,0.1019
SO,277462,0.1905,0.609,0.2005,0.4996,0.5004,0.766,0.234,0.4225,0.4343,0.0508,0.0904,0.0001,0.0017,0.0003,0.6027,0.2562,0.1412
SZ,162157,0.1918,0.6241,0.1841,0.5125,0.4875,0.7784,0.2216,0.4345,0.4378,0.0441,0.0817,0.0001,0.0017,0.0002,0.6084,0.2131,0.1785
TG,282909,0.2021,0.6151,0.1828,0.5038,0.4962,0.7453,0.2547,0.4255,0.4411,0.0446,0.0871,0.0,0.0015,0.0002,0.4627,0.2081,0.3292
TI,350986,0.1782,0.591,0.2308,0.4867,0.5133,0.724,0.276,0.4267,0.4217,0.0605,0.0894,0.0001,0.0014,0.0002,0.7113,0.2159,0.0728
UR,36819,0.1987,0.5904,0.2109,0.5097,0.4903,0.8711,0.1289,0.4297,0.4607,0.0534,0.055,0.0002,0.001,0.0001,0.6159,0.2681,0.1161
VD,814762,0.2187,0.6162,0.1651,0.4912,0.5088,0.6677,0.3323,0.4792,0.3872,0.0416,0.089,0.0001,0.0025,0.0004,0.6168,0.2798,0.1034
VS,348503,0.1945,0.6047,0.2009,0.4963,0.5037,0.7718,0.2282,0.4327,0.4241,0.0529,0.0885,0.0001,0.0015,0.0002,0.5467,0.242,0.2113
ZG,128794,0.2018,0.623,0.1752,0.5064,0.4936,0.7123,0.2877,0.4386,0.4418,0.0388,0.0784,0.0001,0.002,0.0002,0.9177,0.0823,0.0
ZH,1553423,0.1977,0.6313,0.171,0.4984,0.5016,0.7272,0.2728,0.4713,0.3981,0.0401,0.0863,0.0001,0.0036,0.0006,0.7729,0.2205,0.0066
CH,8670300,0.1991,0.6129,0.188,0.4962,0.5038,0.745,0.255,0.4502,0.4139,0.0465,0.0867,0.0001,0.0022,0.0003,0.6297,0.2183,0.152
